IP地址,数据中心,地区,城市,网络延迟
172.64.228.89,NRT,亚太地区,东京,132 ms
172.67.132.86,LHR,欧洲,伦敦,156 ms
104.21.214.128,LHR,欧洲,伦敦,156 ms
104.21.125.20,LHR,欧洲,伦敦,157 ms
172.67.186.12,LHR,欧洲,伦敦,157 ms
172.67.140.84,LHR,欧洲,伦敦,157 ms
172.67.187.110,LHR,欧洲,伦敦,157 ms
104.21.85.164,LHR,欧洲,伦敦,157 ms
104.21.25.112,LHR,欧洲,伦敦,157 ms
172.67.241.6,LHR,欧洲,伦敦,157 ms
104.21.50.116,LHR,欧洲,伦敦,157 ms
104.21.49.27,LHR,欧洲,伦敦,157 ms
172.67.171.240,LHR,欧洲,伦敦,157 ms
172.67.168.102,LHR,欧洲,伦敦,157 ms
104.21.198.184,LHR,欧洲,伦敦,157 ms
172.67.231.62,LHR,欧洲,伦敦,157 ms
172.67.138.154,LHR,欧洲,伦敦,157 ms
172.67.218.155,LHR,欧洲,伦敦,157 ms
172.67.232.164,LHR,欧洲,伦敦,157 ms
172.67.224.250,LHR,欧洲,伦敦,157 ms
104.21.97.80,LHR,欧洲,伦敦,157 ms
172.67.175.121,LHR,欧洲,伦敦,157 ms
172.67.164.108,LHR,欧洲,伦敦,157 ms
104.21.102.31,LHR,欧洲,伦敦,157 ms
104.21.213.37,LHR,欧洲,伦敦,157 ms
104.21.90.208,LHR,欧洲,伦敦,157 ms
172.67.220.19,LHR,欧洲,伦敦,157 ms
104.21.109.207,LHR,欧洲,伦敦,157 ms
172.67.146.50,LHR,欧洲,伦敦,158 ms
172.67.247.252,LHR,欧洲,伦敦,158 ms
172.67.223.68,LHR,欧洲,伦敦,158 ms
104.21.64.152,LHR,欧洲,伦敦,158 ms
172.67.201.111,LHR,欧洲,伦敦,158 ms
172.67.148.44,LHR,欧洲,伦敦,158 ms
172.67.191.9,LHR,欧洲,伦敦,158 ms
104.21.16.154,LHR,欧洲,伦敦,158 ms
104.21.44.216,LHR,欧洲,伦敦,158 ms
172.67.154.102,LHR,欧洲,伦敦,158 ms
172.67.243.0,LHR,欧洲,伦敦,158 ms
172.67.139.123,LHR,欧洲,伦敦,158 ms
104.21.42.223,LHR,欧洲,伦敦,158 ms
104.21.41.100,LHR,欧洲,伦敦,158 ms
172.67.196.108,LHR,欧洲,伦敦,158 ms
104.21.122.222,LHR,欧洲,伦敦,158 ms
104.21.103.224,LHR,欧洲,伦敦,158 ms
172.67.134.151,LHR,欧洲,伦敦,158 ms
172.67.167.86,LHR,欧洲,伦敦,158 ms
104.21.45.11,LHR,欧洲,伦敦,158 ms
172.67.203.199,LHR,欧洲,伦敦,158 ms
104.21.70.208,LHR,欧洲,伦敦,158 ms
172.67.166.179,LHR,欧洲,伦敦,158 ms
104.21.106.240,LHR,欧洲,伦敦,158 ms
172.67.237.197,LHR,欧洲,伦敦,158 ms
104.21.197.101,LHR,欧洲,伦敦,158 ms
104.21.22.45,LHR,欧洲,伦敦,158 ms
104.21.217.140,LHR,欧洲,伦敦,158 ms
104.21.27.38,LHR,欧洲,伦敦,158 ms
104.21.34.121,LHR,欧洲,伦敦,158 ms
172.67.221.27,LHR,欧洲,伦敦,158 ms
172.67.161.232,LHR,欧洲,伦敦,158 ms
172.67.217.113,LHR,欧洲,伦敦,158 ms
172.67.230.163,LHR,欧洲,伦敦,158 ms
172.67.252.171,LHR,欧洲,伦敦,158 ms
172.67.255.97,LHR,欧洲,伦敦,158 ms
172.67.183.103,LHR,欧洲,伦敦,158 ms
104.21.119.187,LHR,欧洲,伦敦,158 ms
172.67.253.202,LHR,欧洲,伦敦,158 ms
104.21.17.102,LHR,欧洲,伦敦,158 ms
104.21.65.206,LHR,欧洲,伦敦,158 ms
104.21.74.63,LHR,欧洲,伦敦,158 ms
104.21.120.218,LHR,欧洲,伦敦,158 ms
104.21.96.54,LHR,欧洲,伦敦,158 ms
104.21.196.89,LHR,欧洲,伦敦,158 ms
104.21.195.83,LHR,欧洲,伦敦,158 ms
104.21.194.157,LHR,欧洲,伦敦,159 ms
104.21.89.211,LHR,欧洲,伦敦,159 ms
172.67.192.211,LHR,欧洲,伦敦,159 ms
104.21.66.45,LHR,欧洲,伦敦,159 ms
104.21.88.45,LHR,欧洲,伦敦,159 ms
188.114.98.205,LHR,欧洲,伦敦,159 ms
104.21.43.255,LHR,欧洲,伦敦,159 ms
172.67.228.206,LHR,欧洲,伦敦,159 ms
104.21.55.169,LHR,欧洲,伦敦,159 ms
104.21.208.151,LHR,欧洲,伦敦,159 ms
172.67.165.167,LHR,欧洲,伦敦,159 ms
104.21.201.85,LHR,欧洲,伦敦,159 ms
172.67.172.148,LHR,欧洲,伦敦,159 ms
172.67.213.41,LHR,欧洲,伦敦,159 ms
172.67.214.2,LHR,欧洲,伦敦,159 ms
104.21.48.117,LHR,欧洲,伦敦,159 ms
104.21.73.58,LHR,欧洲,伦敦,159 ms
104.21.118.65,LHR,欧洲,伦敦,159 ms
172.67.242.179,LHR,欧洲,伦敦,159 ms
104.21.63.29,LHR,欧洲,伦敦,159 ms
104.21.57.34,LHR,欧洲,伦敦,159 ms
104.21.207.157,LHR,欧洲,伦敦,159 ms
172.67.150.39,LHR,欧洲,伦敦,159 ms
104.21.91.150,LHR,欧洲,伦敦,159 ms
104.21.58.200,LHR,欧洲,伦敦,159 ms
104.21.99.26,LHR,欧洲,伦敦,159 ms
104.21.220.114,LHR,欧洲,伦敦,159 ms
172.67.197.18,LHR,欧洲,伦敦,159 ms
172.67.239.185,LHR,欧洲,伦敦,159 ms
104.21.52.135,LHR,欧洲,伦敦,159 ms
172.67.169.130,LHR,欧洲,伦敦,159 ms
104.21.13.162,LHR,欧洲,伦敦,159 ms
104.21.40.88,LHR,欧洲,伦敦,159 ms
172.67.251.212,LHR,欧洲,伦敦,159 ms
172.67.248.93,LHR,欧洲,伦敦,159 ms
104.21.51.135,LHR,欧洲,伦敦,159 ms
104.19.64.215,SJC,北美洲,圣何塞,159 ms
104.21.4.157,LHR,欧洲,伦敦,159 ms
104.21.1.58,LHR,欧洲,伦敦,159 ms
104.21.86.67,LHR,欧洲,伦敦,159 ms
104.21.215.62,LHR,欧洲,伦敦,159 ms
104.21.108.213,LHR,欧洲,伦敦,159 ms
172.67.163.195,LHR,欧洲,伦敦,159 ms
104.21.110.67,LHR,欧洲,伦敦,159 ms
104.21.68.200,LHR,欧洲,伦敦,159 ms
104.21.221.36,LHR,欧洲,伦敦,159 ms
172.67.151.26,LHR,欧洲,伦敦,159 ms
104.21.61.254,LHR,欧洲,伦敦,159 ms
172.67.129.102,LHR,欧洲,伦敦,159 ms
172.67.143.63,LHR,欧洲,伦敦,159 ms
172.67.142.46,LHR,欧洲,伦敦,159 ms
104.21.3.163,LHR,欧洲,伦敦,160 ms
104.19.124.3,SJC,北美洲,圣何塞,160 ms
104.21.216.17,LHR,欧洲,伦敦,160 ms
104.21.98.186,LHR,欧洲,伦敦,160 ms
104.21.124.9,LHR,欧洲,伦敦,160 ms
104.19.39.204,SJC,北美洲,圣何塞,160 ms
104.21.47.240,LHR,欧洲,伦敦,160 ms
172.67.210.217,LHR,欧洲,伦敦,160 ms
104.21.123.195,LHR,欧洲,伦敦,160 ms
172.67.177.238,LHR,欧洲,伦敦,160 ms
172.67.178.136,LHR,欧洲,伦敦,160 ms
188.114.99.105,LHR,欧洲,伦敦,160 ms
172.67.222.193,LHR,欧洲,伦敦,160 ms
172.67.219.18,LHR,欧洲,伦敦,160 ms
104.21.87.39,LHR,欧洲,伦敦,160 ms
172.67.174.160,LHR,欧洲,伦敦,160 ms
172.67.216.44,LHR,欧洲,伦敦,160 ms
188.114.96.219,LHR,欧洲,伦敦,160 ms
172.67.193.136,LHR,欧洲,伦敦,160 ms
104.21.105.100,LHR,欧洲,伦敦,160 ms
104.21.212.4,LHR,欧洲,伦敦,160 ms
104.19.2.183,SJC,北美洲,圣何塞,160 ms
172.67.173.153,LHR,欧洲,伦敦,160 ms
104.21.12.245,LHR,欧洲,伦敦,160 ms
104.21.14.139,LHR,欧洲,伦敦,160 ms
104.21.2.64,LHR,欧洲,伦敦,160 ms
172.67.200.240,LHR,欧洲,伦敦,160 ms
104.21.39.112,LHR,欧洲,伦敦,160 ms
172.67.190.14,LHR,欧洲,伦敦,160 ms
172.67.180.83,LHR,欧洲,伦敦,160 ms
172.67.198.6,LHR,欧洲,伦敦,160 ms
172.67.238.138,LHR,欧洲,伦敦,160 ms
104.21.67.175,LHR,欧洲,伦敦,160 ms
104.19.70.41,SJC,北美洲,圣何塞,160 ms
104.21.199.24,LHR,欧洲,伦敦,160 ms
104.21.107.134,LHR,欧洲,伦敦,160 ms
104.21.121.203,LHR,欧洲,伦敦,160 ms
172.67.135.254,LHR,欧洲,伦敦,160 ms
172.67.229.185,LHR,欧洲,伦敦,160 ms
104.21.127.199,LHR,欧洲,伦敦,160 ms
172.67.211.59,LHR,欧洲,伦敦,160 ms
172.67.137.60,LHR,欧洲,伦敦,160 ms
104.19.11.63,SJC,北美洲,圣何塞,160 ms
172.67.141.151,LHR,欧洲,伦敦,160 ms
104.19.67.202,SJC,北美洲,圣何塞,160 ms
172.67.188.151,LHR,欧洲,伦敦,160 ms
104.19.123.162,SJC,北美洲,圣何塞,160 ms
104.21.33.82,LHR,欧洲,伦敦,160 ms
104.21.117.179,LHR,欧洲,伦敦,160 ms
104.21.222.40,LHR,欧洲,伦敦,160 ms
172.67.194.153,LHR,欧洲,伦敦,160 ms
172.67.227.205,LHR,欧洲,伦敦,160 ms
172.67.189.51,LHR,欧洲,伦敦,160 ms
172.67.250.47,LHR,欧洲,伦敦,160 ms
172.67.249.14,LHR,欧洲,伦敦,160 ms
172.67.162.86,LHR,欧洲,伦敦,160 ms
172.67.170.229,LHR,欧洲,伦敦,160 ms
104.21.59.164,LHR,欧洲,伦敦,160 ms
104.21.60.170,LHR,欧洲,伦敦,160 ms
104.21.19.247,LHR,欧洲,伦敦,160 ms
172.67.246.95,LHR,欧洲,伦敦,160 ms
104.19.121.74,SJC,北美洲,圣何塞,160 ms
172.67.147.173,LHR,欧洲,伦敦,160 ms
104.21.7.9,LHR,欧洲,伦敦,160 ms
104.21.104.97,LHR,欧洲,伦敦,160 ms
172.67.254.96,LHR,欧洲,伦敦,160 ms
172.67.157.201,LHR,欧洲,伦敦,160 ms
104.21.71.203,LHR,欧洲,伦敦,160 ms
104.18.50.142,SJC,北美洲,圣何塞,160 ms
172.67.133.246,LHR,欧洲,伦敦,160 ms
104.21.223.195,LHR,欧洲,伦敦,160 ms
104.21.206.234,LHR,欧洲,伦敦,160 ms
172.67.202.253,LHR,欧洲,伦敦,160 ms
104.21.15.33,LHR,欧洲,伦敦,160 ms
104.19.32.111,SJC,北美洲,圣何塞,161 ms
172.67.235.158,LHR,欧洲,伦敦,161 ms
172.67.152.162,LHR,欧洲,伦敦,161 ms
104.21.21.71,LHR,欧洲,伦敦,161 ms
188.114.97.81,LHR,欧洲,伦敦,161 ms
172.67.215.241,LHR,欧洲,伦敦,161 ms
104.19.79.103,SJC,北美洲,圣何塞,161 ms
104.21.56.64,LHR,欧洲,伦敦,161 ms
104.21.75.47,LHR,欧洲,伦敦,161 ms
104.21.116.111,LHR,欧洲,伦敦,161 ms
104.21.62.207,LHR,欧洲,伦敦,161 ms
104.21.84.90,LHR,欧洲,伦敦,161 ms
104.21.95.219,LHR,欧洲,伦敦,161 ms
172.67.199.209,LHR,欧洲,伦敦,161 ms
104.19.41.249,SJC,北美洲,圣何塞,161 ms
104.19.107.116,SJC,北美洲,圣何塞,161 ms
172.67.149.46,LHR,欧洲,伦敦,161 ms
104.19.116.67,SJC,北美洲,圣何塞,161 ms
104.21.6.106,LHR,欧洲,伦敦,161 ms
104.19.85.96,SJC,北美洲,圣何塞,161 ms
104.21.69.236,LHR,欧洲,伦敦,161 ms
104.21.8.174,LHR,欧洲,伦敦,161 ms
104.21.100.48,LHR,欧洲,伦敦,161 ms
104.19.48.60,SJC,北美洲,圣何塞,161 ms
104.19.16.22,SJC,北美洲,圣何塞,161 ms
172.67.240.86,LHR,欧洲,伦敦,161 ms
104.21.126.58,LHR,欧洲,伦敦,161 ms
104.21.82.200,LHR,欧洲,伦敦,161 ms
104.21.37.241,LHR,欧洲,伦敦,161 ms
104.21.0.173,LHR,欧洲,伦敦,161 ms
172.67.195.107,LHR,欧洲,伦敦,161 ms
104.21.111.101,LHR,欧洲,伦敦,161 ms
172.67.156.184,LHR,欧洲,伦敦,161 ms
172.67.155.95,LHR,欧洲,伦敦,161 ms
172.67.128.77,LHR,欧洲,伦敦,161 ms
172.67.153.147,LHR,欧洲,伦敦,161 ms
172.67.244.45,LHR,欧洲,伦敦,161 ms
172.67.131.122,LHR,欧洲,伦敦,161 ms
104.21.5.12,LHR,欧洲,伦敦,161 ms
104.21.83.94,LHR,欧洲,伦敦,161 ms
104.19.31.211,SJC,北美洲,圣何塞,161 ms
104.19.112.63,SJC,北美洲,圣何塞,161 ms
104.21.38.125,LHR,欧洲,伦敦,161 ms
172.67.207.20,LHR,欧洲,伦敦,162 ms
104.19.119.231,SJC,北美洲,圣何塞,162 ms
172.67.226.41,LHR,欧洲,伦敦,162 ms
104.19.42.37,SJC,北美洲,圣何塞,162 ms
104.21.32.193,LHR,欧洲,伦敦,162 ms
104.21.9.127,LHR,欧洲,伦敦,162 ms
104.19.102.95,SJC,北美洲,圣何塞,162 ms
104.21.193.165,LHR,欧洲,伦敦,162 ms
172.67.212.138,LHR,欧洲,伦敦,162 ms
104.21.11.165,LHR,欧洲,伦敦,162 ms
172.67.208.223,LHR,欧洲,伦敦,162 ms
104.19.92.88,SJC,北美洲,圣何塞,162 ms
104.19.115.71,SJC,北美洲,圣何塞,162 ms
104.19.94.125,SJC,北美洲,圣何塞,162 ms
172.67.181.149,LHR,欧洲,伦敦,162 ms
104.19.56.182,SJC,北美洲,圣何塞,162 ms
104.21.54.228,LHR,欧洲,伦敦,162 ms
104.19.89.50,SJC,北美洲,圣何塞,162 ms
172.67.145.129,LHR,欧洲,伦敦,162 ms
172.67.144.194,LHR,欧洲,伦敦,162 ms
104.19.21.198,SJC,北美洲,圣何塞,162 ms
172.67.136.138,LHR,欧洲,伦敦,162 ms
172.67.158.12,LHR,欧洲,伦敦,162 ms
172.67.159.217,LHR,欧洲,伦敦,162 ms
104.21.200.243,LHR,欧洲,伦敦,162 ms
104.19.28.41,SJC,北美洲,圣何塞,162 ms
104.19.20.21,SJC,北美洲,圣何塞,162 ms
104.21.209.187,LHR,欧洲,伦敦,162 ms
104.19.73.179,SJC,北美洲,圣何塞,162 ms
172.67.225.240,LHR,欧洲,伦敦,162 ms
172.67.204.102,LHR,欧洲,伦敦,162 ms
104.21.115.54,LHR,欧洲,伦敦,162 ms
104.19.83.45,SJC,北美洲,圣何塞,162 ms
104.21.18.85,LHR,欧洲,伦敦,162 ms
104.21.219.13,LHR,欧洲,伦敦,162 ms
104.18.54.255,SJC,北美洲,圣何塞,162 ms
104.19.122.235,SJC,北美洲,圣何塞,162 ms
172.67.245.197,LHR,欧洲,伦敦,162 ms
104.19.53.30,SJC,北美洲,圣何塞,162 ms
172.67.234.227,LHR,欧洲,伦敦,162 ms
104.21.23.183,LHR,欧洲,伦敦,162 ms
104.19.117.143,SJC,北美洲,圣何塞,162 ms
104.21.24.221,LHR,欧洲,伦敦,162 ms
104.21.210.89,LHR,欧洲,伦敦,163 ms
104.18.61.162,SJC,北美洲,圣何塞,163 ms
172.67.205.232,LHR,欧洲,伦敦,163 ms
104.21.36.50,LHR,欧洲,伦敦,163 ms
104.21.26.4,LHR,欧洲,伦敦,163 ms
104.19.7.44,SJC,北美洲,圣何塞,163 ms
104.19.84.76,SJC,北美洲,圣何塞,163 ms
104.19.91.166,SJC,北美洲,圣何塞,163 ms
104.21.20.141,LHR,欧洲,伦敦,163 ms
104.21.192.224,LHR,欧洲,伦敦,163 ms
172.67.209.241,LHR,欧洲,伦敦,163 ms
104.21.80.78,LHR,欧洲,伦敦,163 ms
104.21.211.133,LHR,欧洲,伦敦,163 ms
104.21.202.178,LHR,欧洲,伦敦,163 ms
104.19.62.36,SJC,北美洲,圣何塞,163 ms
172.67.179.118,LHR,欧洲,伦敦,163 ms
104.21.218.108,LHR,欧洲,伦敦,163 ms
104.19.114.87,SJC,北美洲,圣何塞,163 ms
104.19.118.112,SJC,北美洲,圣何塞,163 ms
104.21.92.233,LHR,欧洲,伦敦,163 ms
172.67.233.156,LHR,欧洲,伦敦,163 ms
172.67.160.246,LHR,欧洲,伦敦,163 ms
104.19.13.227,SJC,北美洲,圣何塞,163 ms
172.67.176.130,LHR,欧洲,伦敦,163 ms
104.19.99.10,SJC,北美洲,圣何塞,163 ms
104.21.113.210,LHR,欧洲,伦敦,163 ms
198.41.205.81,SJC,北美洲,圣何塞,163 ms
104.21.72.68,LHR,欧洲,伦敦,163 ms
172.67.130.140,LHR,欧洲,伦敦,164 ms
104.19.18.236,SJC,北美洲,圣何塞,164 ms
104.21.31.139,LHR,欧洲,伦敦,164 ms
173.245.49.130,SJC,北美洲,圣何塞,164 ms
172.67.236.116,LHR,欧洲,伦敦,164 ms
104.21.205.19,LHR,欧洲,伦敦,164 ms
104.21.204.141,LHR,欧洲,伦敦,164 ms
141.101.121.169,SJC,北美洲,圣何塞,164 ms
172.67.182.166,LHR,欧洲,伦敦,164 ms
104.18.59.205,SJC,北美洲,圣何塞,164 ms
104.19.33.20,SJC,北美洲,圣何塞,164 ms
104.19.66.122,SJC,北美洲,圣何塞,164 ms
104.21.46.75,LHR,欧洲,伦敦,164 ms
104.21.76.225,LHR,欧洲,伦敦,164 ms
104.21.35.20,LHR,欧洲,伦敦,164 ms
104.19.52.48,SJC,北美洲,圣何塞,164 ms
104.21.77.68,LHR,欧洲,伦敦,164 ms
104.19.103.178,SJC,北美洲,圣何塞,164 ms
172.67.185.156,LHR,欧洲,伦敦,164 ms
104.19.51.152,SJC,北美洲,圣何塞,165 ms
172.67.206.150,LHR,欧洲,伦敦,165 ms
104.21.112.196,LHR,欧洲,伦敦,165 ms
104.19.44.95,SJC,北美洲,圣何塞,165 ms
104.18.49.203,SJC,北美洲,圣何塞,165 ms
104.21.10.64,LHR,欧洲,伦敦,165 ms
104.21.81.37,LHR,欧洲,伦敦,165 ms
104.19.26.73,SJC,北美洲,圣何塞,165 ms
104.21.101.242,LHR,欧洲,伦敦,165 ms
172.67.184.63,LHR,欧洲,伦敦,165 ms
104.21.114.41,LHR,欧洲,伦敦,165 ms
104.21.79.199,LHR,欧洲,伦敦,166 ms
104.19.127.73,SJC,北美洲,圣何塞,166 ms
104.19.58.68,SJC,北美洲,圣何塞,166 ms
104.21.94.125,LHR,欧洲,伦敦,166 ms
104.21.203.58,LHR,欧洲,伦敦,166 ms
104.21.78.59,LHR,欧洲,伦敦,166 ms
104.19.60.89,SJC,北美洲,圣何塞,166 ms
104.21.30.134,LHR,欧洲,伦敦,167 ms
104.19.74.242,SJC,北美洲,圣何塞,167 ms
104.19.93.33,SJC,北美洲,圣何塞,167 ms
104.21.93.51,LHR,欧洲,伦敦,167 ms
104.19.36.254,SJC,北美洲,圣何塞,167 ms
104.21.28.221,LHR,欧洲,伦敦,167 ms
104.19.120.140,SJC,北美洲,圣何塞,168 ms
104.19.5.129,SJC,北美洲,圣何塞,168 ms
104.19.72.149,SJC,北美洲,圣何塞,168 ms
104.18.57.14,SJC,北美洲,圣何塞,168 ms
104.19.77.162,SJC,北美洲,圣何塞,168 ms
104.19.19.126,SJC,北美洲,圣何塞,168 ms
104.19.38.213,SJC,北美洲,圣何塞,168 ms
104.19.98.78,SJC,北美洲,圣何塞,169 ms
104.21.29.76,LHR,欧洲,伦敦,169 ms
104.19.69.230,SJC,北美洲,圣何塞,169 ms
104.19.50.138,SJC,北美洲,圣何塞,169 ms
104.18.55.187,SJC,北美洲,圣何塞,169 ms
104.19.22.81,SJC,北美洲,圣何塞,169 ms
104.19.46.248,SJC,北美洲,圣何塞,169 ms
104.16.125.28,LAX,北美洲,洛杉矶,169 ms
104.19.106.126,SJC,北美洲,圣何塞,169 ms
104.19.3.35,SJC,北美洲,圣何塞,170 ms
104.19.104.93,SJC,北美洲,圣何塞,170 ms
104.19.141.212,LAX,北美洲,洛杉矶,170 ms
104.21.235.149,LAX,北美洲,洛杉矶,170 ms
104.19.63.129,SJC,北美洲,圣何塞,170 ms
104.19.65.198,SJC,北美洲,圣何塞,170 ms
162.159.250.210,LAX,北美洲,洛杉矶,170 ms
104.18.62.204,SJC,北美洲,圣何塞,170 ms
104.19.95.178,SJC,北美洲,圣何塞,170 ms
104.19.55.148,SJC,北美洲,圣何塞,170 ms
104.19.132.222,LAX,北美洲,洛杉矶,170 ms
104.19.29.219,SJC,北美洲,圣何塞,170 ms
104.19.8.55,SJC,北美洲,圣何塞,170 ms
104.19.135.231,LAX,北美洲,洛杉矶,170 ms
104.19.110.127,SJC,北美洲,圣何塞,170 ms
104.18.120.73,LAX,北美洲,洛杉矶,170 ms
104.19.43.43,SJC,北美洲,圣何塞,171 ms
104.19.61.51,SJC,北美洲,圣何塞,171 ms
104.21.229.13,LAX,北美洲,洛杉矶,171 ms
104.19.105.184,SJC,北美洲,圣何塞,171 ms
172.64.204.158,SJC,北美洲,圣何塞,171 ms
104.19.81.135,SJC,北美洲,圣何塞,171 ms
104.19.49.157,SJC,北美洲,圣何塞,171 ms
172.64.137.166,SJC,北美洲,圣何塞,171 ms
172.64.203.78,SJC,北美洲,圣何塞,172 ms
172.64.142.233,SJC,北美洲,圣何塞,172 ms
172.64.196.168,SJC,北美洲,圣何塞,172 ms
172.64.174.146,SJC,北美洲,圣何塞,172 ms
104.19.75.167,SJC,北美洲,圣何塞,172 ms
172.64.168.227,SJC,北美洲,圣何塞,172 ms
172.64.206.126,SJC,北美洲,圣何塞,173 ms
172.64.173.171,SJC,北美洲,圣何塞,173 ms
172.64.169.206,SJC,北美洲,圣何塞,173 ms
198.41.200.10,SJC,北美洲,圣何塞,173 ms
172.64.98.220,SJC,北美洲,圣何塞,173 ms
104.19.47.143,SJC,北美洲,圣何塞,173 ms
172.64.131.12,SJC,北美洲,圣何塞,173 ms
172.64.160.41,SJC,北美洲,圣何塞,173 ms
172.64.164.150,SJC,北美洲,圣何塞,174 ms
172.64.138.181,SJC,北美洲,圣何塞,174 ms
172.64.161.77,SJC,北美洲,圣何塞,174 ms
104.19.24.15,SJC,北美洲,圣何塞,174 ms
172.64.202.102,SJC,北美洲,圣何塞,174 ms
104.19.78.137,SJC,北美洲,圣何塞,174 ms
104.16.116.67,LAX,北美洲,洛杉矶,174 ms
172.64.163.198,SJC,北美洲,圣何塞,175 ms
172.64.207.39,SJC,北美洲,圣何塞,175 ms
172.64.133.105,SJC,北美洲,圣何塞,175 ms
104.16.121.1,LAX,北美洲,洛杉矶,175 ms
104.18.63.250,SJC,北美洲,圣何塞,175 ms
104.19.87.140,SJC,北美洲,圣何塞,175 ms
172.64.140.206,SJC,北美洲,圣何塞,175 ms
104.18.56.216,SJC,北美洲,圣何塞,175 ms
